品號,在庫數量
2A01001229220851,600
2A01031279030232,3640
2A01031650190470,3845
2A01032279010471,700
2A01032279010501,100
2A01032650190941,21
2B01M980D029H705,50
2B01P034C009H220,41
2F52CNN010401A00,106
2F52CT8600101B00,0
2F52LS65400101A0,9
2F52ORW100101A00,578
2F52WST100201A00,745
2F52WST12E0101A0,20
2F61PL0005000000,3000
2H068455T4100900,10472
2H068455T4101700,2618
0A01001250230520,800
0A01001650200172,15
0A01001650200243,10
0A01001650200252,10
0A01001650200402,100
0A01001650200403,265
0A01001650200404,910
0A01001650200410,180
0A01001650200411,155
0A01001650200412,1240
0A01001650200461,70
0A01001650200462,785
0A01001650200470,100
0A01001650200471,680
0A01001650200480,50
0A01001650200481,240
0A01001650200482,910
0A01001650200490,155
0A01001650200491,180
0A01001650200492,1210
0A01001650220280,412
0A01001650220292,416
0A01001650220310,211
0A01001650220311,585
0A01001650220402,168
0A01001650220411,118
0A01001650220523,140
0A01001650220661,10
0A01001650220700,114
0A01001650220730,404
0A01001650220750,10
0A01001650220751,260
0A01001650230513,20
0A01001650230582,14
0A01001650230700,56
0A01001650230721,16
0A01001650230751,224
0A01001650230761,80
0A01001650230780,417
0A01001650230791,538
0A01001650230800,345
0A01001650230811,1282
0A01001650230821,666
0A01001650230830,606
0A01031239130871,4225
0A01031239130940,2633
0A01031279010821,136
0A01031279011061,60
0A01031279011181,15
0A01031279011325,25
0A01031279011350,80
0A01031279011381,268
0A01031279011390,80
0A01031279011392,78
0A01031279011401,106
0A01031279011430,305
0A01031279011431,1624
0A01031279012330,541
0A01031279030702,5624
0A01031279060070,300
0A01031279060080,9
0A01031279110074,260
0A01031279110084,260
0A01031279110364,300
0A01031279111520,1035
0A01031279111554,120
0A01031279111567,10
0A01031279111577,75
0A01031279111582,80
0A01031279111742,238
0A01031279111750,40
0A01031279111760,40
0A01031279111843,200
0A01031279111851,54
0A01031279111862,156
0A01031279111871,112
0A01031279111881,80
0A01031279111920,222
0A01031279111930,642
0A01031279111940,271
0A01031279111952,299
0A01031279112015,278
0A01031279112021,107
0A01031279112034,747
0A01031279112043,30
0A01031279112052,58
0A01031279112084,368
0A01031279112091,399
0A01031279112114,90
0A01031279112123,87
0A01031279112130,162
0A01031279112141,90
0A01031279112152,140
0A01031279112170,378
0A01031279112182,561
0A01031279112192,138
0A01031279112201,698
0A01031279112215,178
0A01031279112221,80
0A01031279112222,140
0A01031279112243,222
0A01031279112250,40
0A01031279112252,558
0A01031279112344,29
0A01031279112345,10
0A01031279112346,60
0A01031279112390,448
0A01031279112401,167
0A01031279112413,300
0A01031279112414,200
0A01031279112415,192
0A01031279112491,54
0A01031279112500,312
0A01031279112571,524
0A01031279112572,544
0A01031650190172,310
0A01031650190182,280
0A01031650190191,860
0A01031650190201,460
0A01031650192071,570
0A01031650192081,570
0A01031650192091,180
0A01031650192101,180
0A01031650192111,40
0A01031650192112,415
0A01031650192122,40
0A01031650192123,475
0A01031650192130,20
0A01031650192131,250
0A01031650192140,20
0A01031650192141,330
0A01031650192195,549
0A01031650192206,529
0A01031650192214,225
0A01031650192224,245
0A01031650192230,521
0A01031650192240,526
0A01031650192250,341
0A01031650192260,341
0A01031650192280,160
0A01031650192281,3100
0A01031979111730,80
0A01032229030011,272
0A01032279010331,2759
0A01032279010332,84
0A01032279010391,1669
0A01032279010410,762
0A01032279010421,88
0A01032279010431,746
0A01032279010440,760
0A01032279010450,100
0A01032279010460,1077
0A01032279010470,359
0A01032279010500,140
0A01032279010550,554
0A01032279010570,362
0A01032279010620,152
0A01032279030020,446
0A01032279060053,49
0A01032279060220,152
0A01032650190800,126
0A01032650190810,114
0A01032650190820,114
0A01032650190900,77
0A01032650190910,77
0A01032650190920,77
0A01032650190970,148
0A01032650190980,148
0A01032650191020,200
0A01032650191030,200
0A01032650191040,200
0A01051029130120,155
0A01051029130130,175
0A01051029130140,30
0A01051029130150,134
0A01051029130180,182
0A01051029130190,400
0A01051029200072,135
0A01051029200082,35
0A01051029200083,465
0A01051029200093,625
0A01051029200101,269
0A01051029200110,165
0A01051029200120,735
0A01051229200230,280
0A01051229200240,330
0A01051229200250,291
0A01051229200260,1184
0A01051279020881,1000
0A01051279020900,1000
0A01051279080903,780
0A01051279080920,1420
0A01051650210310,455
0A01051650210320,122
0A01051650210472,1860
0A01051650210482,444
0A01051650210775,104
0A01051650210921,60
0A01051650210930,530
0A01051650210940,200
0A01051650210960,452
0A01051650211040,240
0A01051650211160,180
0A01051929270011,750
0A01051929270031,200
0A01053229560010,557
0A01053229560020,456
0A01053229560030,505
0A01053229560040,14
0A01053229560041,361
0A01053650210011,289
0A01053650210020,180
0A01053650210031,259
0A01053650210343,10
0A01053650210344,310
0A01053650210361,60
0A01053650210520,10
0A01053650210540,280
0A01053650210612,315
0A01053650210652,144
0A01053650210701,210
0A01053650210890,33
0A01053650210900,720
0A01852224075570,320
0A01852224075581,635
0A01852633096743,43
0A01852633096752,104
0A01852633097001,251
0A01852633097011,95
0A10001650210320,92
0A10001650210330,92
0A11051650210762,174
0A11051650210980,98
0A11051650211030,40
0A11051650211031,250
0A11053650210355,470
0A11053650210550,435
0A11053650210560,295
0A11053650210600,90
0A12051650211022,580
0A12051650211090,1291
0A13031279111590,150
0A13031279111600,300
0B01M026A021H030,5
0B01M026A022H010,36
0B01M026A033H010,8
0B01M026A034H020,50
0B01M026B025H010,130
0B01M026B027H010,73
0B01M033C182H010,320
0B01M033C192H010,308
0B01M034B024H010,90
0B01M034B029H010,12
0B01M034B035H010,30
0B01M034B041H010,166
0B01M034B042H010,239
0B01M034B057H010,114
0B01M034B057H020,104
0B01M034B065H010,270
0B01M034B065H020,270
0B01M034B066H010,117
0B01M034B071H010,45
0B01M034B072H010,30
0B01M034B080H010,40
0B01M034C057H010,14
0B01M034C058H010,7
0B01M034C059H010,100
0B01M034C060H010,180
0B01M034C061H010,28
0B01M034C062H010,21
0B01M034C063H010,234
0B01M034C064H010,208
0B01M034C065H010,244
0B01M034C066H010,196
0B01M080A046H010,80
0B01M080A047H010,140
0B01M080B056H030,370
0B01M080B056H040,370
0B01N034B002H010,142
0B01N034B002H020,114
0B01P026B010H020,540
0B01P026B010H030,170
0B01P034D047H050,1326
0B01P034D047H060,602
0B01P034D047H080,154
0B01Q080B015H010,180
0B01Q080B015H020,170
0B01Q080B016H010,144
0B01Q080B016H020,144
0B01R000A067G010,40
0B01R000A091G030,66
0B01R000A091G040,12
0B01R000A091G050,120
0B01R000A091G060,40
0B01R026A070H010,358
0B01R026A091H040,327
0B01R026A091H050,260
0B01R026A091H060,380
0B01R026A114H030,20
0B01R033A022H010,200
0B01R033A025H070,142
0B01R033A025H080,200
0B01R033A026H040,258
0B01R033A026H060,750
0B01R033A027H060,100
0B01R033A034H010,192
0B01R033A035H020,91
0B01R033A041H050,78
0B01R033A041H060,54
0B01R033A041H070,12
0B01R033A041H080,12
0B01R033A041H090,120
0B01R033A041H100,132
0B01R033A041H110,40
0B01R033A041H120,40
0B01R033A042H010,86
0B01R033A043H010,540
0B01R033A043H020,72
0B01R033A043H030,162
0B01R033A044H010,55
0B01R033A044H020,180
0B01R033B011H010,368
0B01R033C017H020,120
0B01R033D147H010,1600
0B01R033D147H020,339
0B01R080A024H030,20
0B01R080A024H040,20
0B01R080A027H050,120
0B01R080A027H060,105
0B01R080A030H050,80
0B01R080A030H060,100
0B01R080A036H030,75
0B01R080B021H010,120
0B01R080B021H020,120
0B01R080B025H010,20
0B01R080B028H030,40
0B01R080B028H040,55
0B01R080B029H020,6
0B01R080B029H030,73
0B01R080C060H010,3040
0B01R080C060H020,1200
0B01R080C060H030,240
0B01U034D004H010,100
0C0121H70000060U,20
0C0121H70000070D,20
0C0121H700002100,240
0C0121H700002200,150
0C0122F800003000,60
0C01492103228000,50
0C01492103770100,10
0C01492104008000,60
0C01493678760100,56
0C01952003013400,4400
0C01952003023401,528
0C01952004013400,13800
0C01952004053400,8925
0C01952005013400,2200
0C01952005053400,420
0C01952006013400,100
0C01952006023400,80
0C01952006053401,168
0C01952007013400,280
0C01952007023400,308
0C01952026013400,120
0C01952026023400,60
0C01952063014900,182
0C01952064014900,168
0C01952064024900,20
0C01952068014900,50
0C01952068024900,5
0C01952100013400,160
0C01952100023400,40
0C01BAH700002100,60
0C01BAH700002200,960
0C01BAH700002400,140
0D01CAF100000000,400
0D10M75065023B10,1
0D11M75065023W10,4
0D20D73357930B10,28
0D20D73357935B10,36
0D20D73357935W10,7
0D22D50310423B10,3
0D22D50310423B1D,3
0D29D7100130W100,301
0E01PFP2002K2F00,90
0E01PFP2003K2F00,90
0E01PGID0081K2F1,128
0E01PGID0082K2F0,167
0E01PGID0083K2F0,1277
0E01PGID0084K2F0,232
0E01PGID0085K2F0,652
0E01PGID0086K2F0,371
0E01SPAK0440E2F0,423
0E01SPAK0474E2F0,48
0E01SPAK0475E2K1,110
0E01SPAK0481E2F0,40
0E01SPAK0482E2F0,153
0E01SPAK0483E2F1,4
0E01SPAK0483E2K2,4
0E01SPAK0483E2K3,12
0E01SPAK0483E2K4,73
0E01SPAK0483E2K5,8
0E01SPAK0494E2F0,128
0E01SPAK0496E2F0,8
0E01SPAK0497E2K0,35
0E01SPAK0497E2K1,8
0E01SPAKA0157YB0,128
0E01SPAKA0157YL0,128
0E01SPAKA0157YR0,96
0E01SPAKA0157YT0,288
0E01SPAKA6643TL0,72
0E01SPAKA6643TR0,96
0E01SPAKA6672YL0,116
0E01SPAKA6672YR0,140
0E01SPAKA6674YL0,40
0E01SPAKA6674YR0,40
0F10CB1200000000,214
0F10CB1300000000,192
0F10CB1400000000,454
0F10CB1900000000,70
0F10CB2000000000,66
0F10CB2300000000,18
0F10CB2500000000,112
0F10CB2600000000,76
0F11606900000000,134
0F11MS0004910000,153
0F12IDL2200P0000,42
0F12IDL2500P0000,114
0F12IDL300P00000,84
0F12IDL30P000000,82
0F12IDL81000P000,48
0F13P11112300000,32
0F14309151500000,236
0F14320131200000,58
0F14580090100000,56
0F14600202600000,390
0F14600202610000,126
0F14800104200000,36
0F14900091700000,16
0F14980130100000,4
0F14YH2509330000,10
0F14YH250933L000,3
0F16AE1400P00000,40
0F16AK2200LP0000,63
0F16AK2200RP0000,57
0F16AK2500BLP000,18
0F16AK2500RP0000,117
0F16AK7AP0000000,174
0F17J00200000000,162
0F17J02610000000,4
0F17JR0170000000,36
0F17JR0180000000,57
0F17K017GKY00000,6
0F17LL0060000000,8
0F17M00400000000,118
0F17N03400000000,112
0F17NA0060000000,8
0F17P05200000000,58
0F17S01800000000,12
0F17SL0430000000,78
0F20074020200000,16
0F20110100401000,51
0F21120100401000,74
0F21120100402001,2
0F30190000000210,13
0F30190000000270,1
0F30190000000510,4
0F30190000000520,16
0F30190000000530,2
0F30190000000540,2
0F30190000000550,40
0F30190000000560,22
0F30190000000570,16
0F30190000000580,4
0F313MD001PK0100,104
0F313MD001PK0200,104
0F313MD129PK0100,24
0F313MD129PK0200,24
0F313MD144PK0100,60
0F313MD144PK0200,60
0F313MD145PK0100,41
0F313MD145PK0200,41
0F313MD146PK0100,105
0F313MD146PK0200,105
0F313MDL9NPK0200,99
0F313MDLE3PK0100,46
0F313MDLE3PK0200,46
0F313MDLE3PK1100,72
0F313MDLE3PK1200,72
0F313MDLPCPK01A0,58
0F313MDLPCPK02A0,58
0F313MDLU4PK0200,48
0F313MDLU4PK0300,48
0F40L363N9900000,2400
0F40S140E9900000,1020
0F40S21400000000,240
0F40S43869900000,800
0F41E105AS000000,20
0F41E10800000000,56
0F41E112S0000000,6
0F41E121N0000000,17
0F41E126A0000000,12
0F41E12700000000,10
0F41E12900000000,11
0F41E15100000000,4
0F41E17100000000,14
0F41E17310000000,20
0F41E17900000000,40
