成品品號,子件品號(1開頭),模具編號(6開頭),一模穴數,機台編號,平均成型時間(秒),頻率,良率排名
0J20342PFC021000,1J20342PFC0200D0,6J201004A,3.0,A02,200.0,2.0,
0J20342PFC021000,1J20342PFC0200D0,6J201004A,3.0,A03,204.0,1.0,
0J20342PFC021000,1J20342PFC0200D0,6J201004A,3.0,A04,199.0,4.0,
0J20342PFC021000,1J20342PFC0200D0,6J201004A,3.0,A08,192.0,3.0,
0J20342PFC021000,1J20342PFC0200D0,6J201004A,3.0,A09,186.0,5.0,
0J20342PFC021000,1J20342PFC0200U0,6J201004A,3.0,A02,200.0,2.0,
0J20342PFC021000,1J20342PFC0200U0,6J201004A,3.0,A03,204.0,1.0,
0J20342PFC021000,1J20342PFC0200U0,6J201004A,3.0,A04,199.0,4.0,
0J20342PFC021000,1J20342PFC0200U0,6J201004A,3.0,A08,192.0,3.0,
0J20342PFC021000,1J20342PFC0200U0,6J201004A,3.0,A09,186.0,5.0,
0J20342PFV091000,1J20342PFV0900D0,6J201027A,2.0,A01,188.0,1.0,
0J20342PFV091000,1J20342PFV0900D0,6J201027A,2.0,A03,193.0,2.0,
0J20342PFV091000,1J20342PFV0900D0,6J201027A,2.0,A05,193.0,3.0,
0J20342PFV091000,1J20342PFV0900U0,6J201027A,2.0,A01,188.0,1.0,
0J20342PFV091000,1J20342PFV0900U0,6J201027A,2.0,A03,193.0,2.0,
0J20342PFV091000,1J20342PFV0900U0,6J201027A,2.0,A05,193.0,3.0,
0A01031239130810,1A01031239130871,6A011027A,11.0,B01,405.0,4.0,1
0A01031239130810,1A01031239130871,6A011027A,11.0,B09,237.0,3.0,2
0A01031239130810,1A01031239130871,6A011027A,11.0,B10,313.0,1.0,
0A01031239130810,1A01031239130871,6A011027A,11.0,B14,327.0,2.0,
0A01031239130810,1A01031239130871,6A011027A,11.0,B16,198.0,5.0,
0A01031239130810,1A01031239130810,6A011027A,11.0,B01,405.0,4.0,1
0A01031239130810,1A01031239130810,6A011027A,11.0,B09,237.0,3.0,2
0A01031239130810,1A01031239130810,6A011027A,11.0,B10,313.0,1.0,
0A01031239130810,1A01031239130810,6A011027A,11.0,B14,327.0,2.0,
0A01031239130810,1A01031239130810,6A011027A,11.0,B16,198.0,5.0,
0A01001650220610,1A01031279030600,6A011068A,30.0,,,,
0A01051650211160,1A01051650211040,6A011181A,3.0,B01,421.0,3.0,2
0A01051650211160,1A01051650211040,6A011181A,3.0,B02,465.0,5.0,7
0A01051650211160,1A01051650211040,6A011181A,3.0,B09,375.0,8.0,5
0A01051650211160,1A01051650211040,6A011181A,3.0,B10,406.0,7.0,4
0A01051650211160,1A01051650211040,6A011181A,3.0,B12,370.0,9.0,6
0A01051650211160,1A01051650211040,6A011181A,3.0,B13,371.0,1.0,1
0A01051650211160,1A01051650211040,6A011181A,3.0,B14,381.0,2.0,3
0A01051650211160,1A01051650211040,6A011181A,3.0,B15,303.0,6.0,
0A01051650211160,1A01051650211040,6A011181A,3.0,B16,371.0,4.0,
0A01053650210020,1A01053650210701,6A011198A,2.0,B09,428.0,2.0,
0A01053650210020,1A01053650210701,6A011198A,2.0,B12,554.0,1.0,
0B01P034D047H080,1B01P034D047H050,6B010112A,3.0,B01,347.0,5.0,8
0B01P034D047H080,1B01P034D047H050,6B010112A,3.0,B02,303.0,4.0,5
0B01P034D047H080,1B01P034D047H050,6B010112A,3.0,B09,293.0,3.0,3
0B01P034D047H080,1B01P034D047H050,6B010112A,3.0,B10,364.0,7.0,6
0B01P034D047H080,1B01P034D047H050,6B010112A,3.0,B12,322.0,8.0,7
0B01P034D047H080,1B01P034D047H050,6B010112A,3.0,B13,380.0,1.0,4
0B01P034D047H080,1B01P034D047H050,6B010112A,3.0,B14,353.0,2.0,1
0B01P034D047H080,1B01P034D047H050,6B010112A,3.0,B15,406.0,6.0,2
0B01U034D004H010,1B01P034D047H050,6B010112A,3.0,B01,347.0,5.0,8
0B01U034D004H010,1B01P034D047H050,6B010112A,3.0,B02,303.0,4.0,5
0B01U034D004H010,1B01P034D047H050,6B010112A,3.0,B09,293.0,3.0,3
0B01U034D004H010,1B01P034D047H050,6B010112A,3.0,B10,364.0,7.0,6
0B01U034D004H010,1B01P034D047H050,6B010112A,3.0,B12,322.0,8.0,7
0B01U034D004H010,1B01P034D047H050,6B010112A,3.0,B13,380.0,1.0,4
0B01U034D004H010,1B01P034D047H050,6B010112A,3.0,B14,353.0,2.0,1
0B01U034D004H010,1B01P034D047H050,6B010112A,3.0,B15,406.0,6.0,2
0B01U034D004H020,1B01P034D047H050,6B010112A,3.0,B01,347.0,5.0,8
0B01U034D004H020,1B01P034D047H050,6B010112A,3.0,B02,303.0,4.0,5
0B01U034D004H020,1B01P034D047H050,6B010112A,3.0,B09,293.0,3.0,3
0B01U034D004H020,1B01P034D047H050,6B010112A,3.0,B10,364.0,7.0,6
0B01U034D004H020,1B01P034D047H050,6B010112A,3.0,B12,322.0,8.0,7
0B01U034D004H020,1B01P034D047H050,6B010112A,3.0,B13,380.0,1.0,4
0B01U034D004H020,1B01P034D047H050,6B010112A,3.0,B14,353.0,2.0,1
0B01U034D004H020,1B01P034D047H050,6B010112A,3.0,B15,406.0,6.0,2
0B01P026B010H030,1B01P026B010H020,6B010117A,3.0,B02,279.0,6.0,4
0B01P026B010H030,1B01P026B010H020,6B010117A,3.0,B09,393.0,2.0,7
0B01P026B010H030,1B01P026B010H020,6B010117A,3.0,B10,489.0,5.0,3
0B01P026B010H030,1B01P026B010H020,6B010117A,3.0,B12,428.0,7.0,6
0B01P026B010H030,1B01P026B010H020,6B010117A,3.0,B13,421.0,3.0,1
0B01P026B010H030,1B01P026B010H020,6B010117A,3.0,B14,344.0,4.0,2
0B01P026B010H030,1B01P026B010H020,6B010117A,3.0,B15,374.0,8.0,5
0B01P026B010H030,1B01P026B010H020,6B010117A,3.0,B16,485.0,1.0,
0B01M034B086G010,1B01M034B065H010,6B010139A,3.0,A03,214.0,2.0,
0B01M034B086G010,1B01M034B065H010,6B010139A,3.0,A06,180.0,1.0,
0B01M034B086G010,1B01M034B065H020,6B010139A,3.0,A03,214.0,2.0,
0B01M034B086G010,1B01M034B065H020,6B010139A,3.0,A06,180.0,1.0,
0B01M034B057H020,1B01M034B057H010,6B011005A,2.0,A01,237.0,2.0,5
0B01M034B057H020,1B01M034B057H010,6B011005A,2.0,A02,231.0,6.0,3
0B01M034B057H020,1B01M034B057H010,6B011005A,2.0,A03,233.0,1.0,4
0B01M034B057H020,1B01M034B057H010,6B011005A,2.0,A04,233.0,3.0,1
0B01M034B057H020,1B01M034B057H010,6B011005A,2.0,A07,258.0,4.0,
0B01M034B057H020,1B01M034B057H010,6B011005A,2.0,A09,269.0,5.0,2
0B01M034B057H020,1B01M034B057H010,6B011005A,2.0,B02,261.0,7.0,
0B01M034B057H020,1B01M034B057H010,6B01B001A,1.0,,,,
0B01M034B057H020,1B01M034B057H020,6B011005A,2.0,A01,237.0,2.0,5
0B01M034B057H020,1B01M034B057H020,6B011005A,2.0,A02,231.0,6.0,3
0B01M034B057H020,1B01M034B057H020,6B011005A,2.0,A03,233.0,1.0,4
0B01M034B057H020,1B01M034B057H020,6B011005A,2.0,A04,233.0,3.0,1
0B01M034B057H020,1B01M034B057H020,6B011005A,2.0,A07,258.0,4.0,
0B01M034B057H020,1B01M034B057H020,6B011005A,2.0,A09,269.0,5.0,2
0B01M034B057H020,1B01M034B057H020,6B011005A,2.0,B02,261.0,7.0,
0B01M034B057H020,1B01M034B057H020,6B01B001A,1.0,,,,
0B01R033D147H020,1B01R033D147H010,6B011010A,12.0,B10,272.0,1.0,
0B01R080C060H020,1B01R080C060H010,6B011057A,10.0,B01,353.0,4.0,
0B01R080C060H020,1B01R080C060H010,6B011057A,10.0,B02,243.0,6.0,
0B01R080C060H020,1B01R080C060H010,6B011057A,10.0,B09,294.0,3.0,
0B01R080C060H020,1B01R080C060H010,6B011057A,10.0,B10,293.0,5.0,
0B01R080C060H020,1B01R080C060H010,6B011057A,10.0,B14,341.0,2.0,
0B01R080C060H020,1B01R080C060H010,6B011057A,10.0,B16,295.0,1.0,
0B01R080C060H030,1B01R080C060H010,6B011057A,10.0,B01,353.0,4.0,
0B01R080C060H030,1B01R080C060H010,6B011057A,10.0,B02,243.0,6.0,
0B01R080C060H030,1B01R080C060H010,6B011057A,10.0,B09,294.0,3.0,
0B01R080C060H030,1B01R080C060H010,6B011057A,10.0,B10,293.0,5.0,
0B01R080C060H030,1B01R080C060H010,6B011057A,10.0,B14,341.0,2.0,
0B01R080C060H030,1B01R080C060H010,6B011057A,10.0,B16,295.0,1.0,
0E01SPAKA6672Y10,1E01SPAKA6672YL0,6E010019A,2.0,B02,291.0,1.0,1
0E01SPAKA6672Y10,1E01SPAKA6672YR0,6E010019A,2.0,B02,291.0,1.0,1
0E01SPAKA6643TG0,1E01SPAKA6643TL0,6E010021A,3.0,B10,496.0,1.0,1
0E01SPAKA6643TG0,1E01SPAKA6643TR0,6E010021A,3.0,B10,496.0,1.0,1
0E01SPAKA6661Y10,1E01SPAKA6661YL0,6E010022A,3.0,,,,
0E01SPAKA6661Y10,1E01SPAKA6661YR0,6E010022A,3.0,,,,
0E01SPAKA6674Y10,1E01SPAKA6674YL0,6E010023A,3.0,,,,
0E01SPAKA6674Y10,1E01SPAKA6674YR0,6E010023A,3.0,,,,
0E01SPAKA6675Y10,1E01SPAKA6675YL0,6E010024A,3.0,,,,
0F17NA0060000000,1F17M004000000D0,6F170006A,1.0,B01,356.0,1.0,1
0F17NA0060000000,1F17M004000000D0,6F170006A,1.0,B02,211.0,5.0,4
0F17NA0060000000,1F17M004000000D0,6F170006A,1.0,B12,270.0,4.0,5
0F17NA0060000000,1F17M004000000D0,6F170006A,1.0,B15,486.0,2.0,2
0F17NA0060000000,1F17M004000000D0,6F170006A,1.0,B16,319.0,3.0,3
0F17NA0060000000,1F17M004000000U0,6F170006A,1.0,B01,356.0,1.0,1
0F17NA0060000000,1F17M004000000U0,6F170006A,1.0,B02,211.0,5.0,4
0F17NA0060000000,1F17M004000000U0,6F170006A,1.0,B12,270.0,4.0,5
0F17NA0060000000,1F17M004000000U0,6F170006A,1.0,B15,486.0,2.0,2
0F17NA0060000000,1F17M004000000U0,6F170006A,1.0,B16,319.0,3.0,3
0F51PYIPC0000000,1F51PYIPC00000D0,6F510001A,1.0,B02,248.0,2.0,4
0F51PYIPC0000000,1F51PYIPC00000D0,6F510001A,1.0,B12,398.0,1.0,3
0F51PYIPC0000000,1F51PYIPC00000D0,6F510001A,1.0,B15,707.0,3.0,2
0F51PYIPC0000000,1F51PYIPC00000U0,6F510001A,1.0,B02,248.0,2.0,4
0F51PYIPC0000000,1F51PYIPC00000U0,6F510001A,1.0,B12,398.0,1.0,3
0F51PYIPC0000000,1F51PYIPC00000U0,6F510001A,1.0,B15,707.0,3.0,2
0F51PYURPS000000,1F51PYURPS0000D0,6F510002A,1.0,B01,454.0,3.0,5
0F51PYURPS000000,1F51PYURPS0000D0,6F510002A,1.0,B02,239.0,4.0,3
0F51PYURPS000000,1F51PYURPS0000D0,6F510002A,1.0,B12,360.0,1.0,4
0F51PYURPS000000,1F51PYURPS0000D0,6F510002A,1.0,B15,403.0,5.0,1
0F51PYURPS000000,1F51PYURPS0000D0,6F510002A,1.0,B16,403.0,2.0,2
0F51PYURPS000000,1F51PYURPS0000U0,6F510002A,1.0,B01,454.0,3.0,5
0F51PYURPS000000,1F51PYURPS0000U0,6F510002A,1.0,B02,239.0,4.0,3
0F51PYURPS000000,1F51PYURPS0000U0,6F510002A,1.0,B12,360.0,1.0,4
0F51PYURPS000000,1F51PYURPS0000U0,6F510002A,1.0,B15,403.0,5.0,1
0F51PYURPS000000,1F51PYURPS0000U0,6F510002A,1.0,B16,403.0,2.0,2
0F51PYSSPCBDB000,1F51PYSSPCB000D0,6F510003A,1.0,B09,180.0,1.0,1
0F51PYSSPCBDB000,1F51PYSSPCB000D0,6F510003A,1.0,B12,420.0,2.0,2
0F51PYSSPCBDB000,1F51PYSSPCB000D0,6F510004A,1.0,B09,285.0,2.0,2
0F51PYSSPCBDB000,1F51PYSSPCB000D0,6F510004A,1.0,B16,425.0,1.0,1
0F51PYSSPCBDB000,1F51PYSSPCB000D0,6F510005A,1.0,B02,298.0,1.0,1
0F51PYSSPCBDB000,1F51PYSSPCB000U0,6F510003A,1.0,B09,180.0,1.0,1
0F51PYSSPCBDB000,1F51PYSSPCB000U0,6F510003A,1.0,B12,420.0,2.0,2
0F51PYSSPCBDB000,1F51PYSSPCB000U0,6F510004A,1.0,B09,285.0,2.0,2
0F51PYSSPCBDB000,1F51PYSSPCB000U0,6F510004A,1.0,B16,425.0,1.0,1
0F51PYSSPCBDB000,1F51PYSSPCB000U0,6F510005A,1.0,B02,298.0,1.0,1
0F51PYSSPCBDB000,1F51PYSSPCBDB0M0,6F510003A,1.0,B09,180.0,1.0,1
0F51PYSSPCBDB000,1F51PYSSPCBDB0M0,6F510003A,1.0,B12,420.0,2.0,2
0F51PYSSPCBDB000,1F51PYSSPCBDB0M0,6F510004A,1.0,B09,285.0,2.0,2
0F51PYSSPCBDB000,1F51PYSSPCBDB0M0,6F510004A,1.0,B16,425.0,1.0,1
0F51PYSSPCBDB000,1F51PYSSPCBDB0M0,6F510005A,1.0,B02,298.0,1.0,1
0F51PYMBM0000000,1F51PYMBM00000D0,6F510006A,1.0,B12,387.0,1.0,2
0F51PYMBM0000000,1F51PYMBM00000M0,6F510006A,1.0,B12,387.0,1.0,2
0F51PYMBM0000000,1F51PYMBM00000U0,6F510006A,1.0,B12,387.0,1.0,2
0F51PYMBW0000000,1F51PYMBW00000D0,6F510007A,1.0,,,,
0F51PYMBW0000000,1F51PYMBW00000U0,6F510007A,1.0,,,,
0F51PYOPR0000000,1F51PYOPR00000D0,6F510008A,1.0,,,,
0F51PYOPR0000000,1F51PYOPR00000U0,6F510008A,1.0,,,,
0F51PYIXS0000000,1F51PYIXS00000D0,6F510014A,1.0,,,,
0F51PYIXS0000000,1F51PYIXS00000U0,6F510014A,1.0,,,,
0F51PYIDJ0000000,1F51PYIDJ00000D0,6F510015A,1.0,B15,272.0,1.0,1
0F51PYIDJ0000000,1F51PYIDJ00000U0,6F510015A,1.0,B15,272.0,1.0,1
0F52CT6600101A00,1F52CT4400101A00,6F520036A,1.0,B12,410.0,2.0,3
0F52CT6600101A00,1F52CT4400101A00,6F520036A,1.0,B16,514.0,1.0,2
0F52CT8600101B00,1F52CT4400201B00,6F520036A,1.0,B12,410.0,2.0,3
0F52CT8600101B00,1F52CT4400201B00,6F520036A,1.0,B16,514.0,1.0,2
0F61PL2371000000,1F61PL23710000B0,6F610002A,1.0,B02,236.0,4.0,4
0F61PL2371000000,1F61PL23710000B0,6F610002A,1.0,B09,384.0,3.0,3
0F61PL2371000000,1F61PL23710000B0,6F610002A,1.0,B12,216.0,1.0,1
0F61PL2371000000,1F61PL23710000B0,6F610002A,1.0,B16,313.0,2.0,2
0F61PL2371000000,1F61PL23710000L0,6F610002A,1.0,B02,236.0,4.0,4
0F61PL2371000000,1F61PL23710000L0,6F610002A,1.0,B09,384.0,3.0,3
0F61PL2371000000,1F61PL23710000L0,6F610002A,1.0,B12,216.0,1.0,1
0F61PL2371000000,1F61PL23710000L0,6F610002A,1.0,B16,313.0,2.0,2
0F61PL2371000000,1F61PL23710000R0,6F610002A,1.0,B02,236.0,4.0,4
0F61PL2371000000,1F61PL23710000R0,6F610002A,1.0,B09,384.0,3.0,3
0F61PL2371000000,1F61PL23710000R0,6F610002A,1.0,B12,216.0,1.0,1
0F61PL2371000000,1F61PL23710000R0,6F610002A,1.0,B16,313.0,2.0,2
0F61PL2372000000,1F61PL23720000B0,6F610003A,1.0,B12,528.0,1.0,1
0F61PL2372000000,1F61PL23720000L0,6F610003A,1.0,B12,528.0,1.0,1
0F61PL2372000000,1F61PL23720000R0,6F610003A,1.0,B12,528.0,1.0,1
0F62DHD325500000,1F62DHD325500FL0,6F620001A,1.0,B02,398.0,1.0,3
0F62DHD325500000,1F62DHD325500FL0,6F620001A,1.0,B12,359.0,3.0,1
0F62DHD325500000,1F62DHD325500FL0,6F620001A,1.0,B16,291.0,2.0,4
0F62DHD325500000,1F62DHD325500FR0,6F620001A,1.0,B02,398.0,1.0,3
0F62DHD325500000,1F62DHD325500FR0,6F620001A,1.0,B12,359.0,3.0,1
0F62DHD325500000,1F62DHD325500FR0,6F620001A,1.0,B16,291.0,2.0,4
0F62DHD325500000,1F62DHD325500RL0,6F620001A,1.0,B02,398.0,1.0,3
0F62DHD325500000,1F62DHD325500RL0,6F620001A,1.0,B12,359.0,3.0,1
0F62DHD325500000,1F62DHD325500RL0,6F620001A,1.0,B16,291.0,2.0,4
0F62DHD325500000,1F62DHD325500RR0,6F620001A,1.0,B02,398.0,1.0,3
